M1 >
(size of Audio: 48 X 13)
(M1 - size of Encoded: 48 X 2)
-2.72896 -1.0826 
-3.67665 -1.72343 
2.56179 -1.22298 
1.83449 -3.99959 
3.51929 -2.21381 
1.96788 -3.81391 
0.36142 -4.30592 
0.728008 -4.02577 
1.12305 -2.40021 
0.812808 -2.38375 
1.47334 -1.69892 
-0.468217 -1.5382 
1.05316 -0.536048 
1.5698 -0.0650546 
2.33295 0.286713 
2.79021 0.476365 
3.11786 0.166137 
2.10866 0.401085 
1.63028 1.02648 
2.8113 1.11723 
0.555554 1.46992 
1.45803 1.03714 
1.36346 1.31794 
1.55234 1.53296 
0.895391 0.598734 
0.987206 1.60831 
0.921145 1.36358 
0.90424 2.03013 
0.480622 1.54007 
0.735973 1.78301 
-0.298171 1.94859 
-0.376246 2.21444 
-0.437513 2.44823 
-0.429484 2.06747 
-0.34822 2.29911 
-0.382096 2.01738 
-0.8855 2.39163 
-1.50479 2.5329 
-2.1326 0.737246 
-2.3855 0.305513 
-2.42437 0.159985 
-2.93872 -0.722381 
-2.83345 -0.705379 
-2.9503 -0.675806 
-3.79294 -0.390275 
-2.72973 -1.01069 
-4.20962 -1.05252 
-3.71717 -1.31106 

M2 >
(size of Audio: 2360 X 13)
(M2 - size of Encoded: 2360 X 2)
-2.56766 -4.10133 
-1.95204 -1.20965 
-2.55453 -0.8463 
-0.0889154 1.62603 
-0.536244 0.175904 
-0.875523 0.740428 
0.0303329 1.09857 
-1.05853 0.532315 
-1.29326 0.467856 
-1.38037 1.16766 
-1.38329 0.695147 
-0.651806 2.06003 
0.00664315 0.638288 
-0.641215 1.07094 
-0.725147 1.30923 
-0.86601 2.41685 
-0.692541 2.32683 
-0.456252 2.07722 
-0.593939 0.42749 
-0.595353 -0.226432 
-1.61854 -1.1506 
-1.32673 -0.0588739 
-0.470799 0.621124 
-0.233538 2.07945 
-0.40563 1.09764 
-0.168463 2.63498 
-1.02941 0.564072 
-0.557943 0.356523 
-1.27593 1.0937 
0.135217 0.914095 
-1.17843 0.838519 
-1.14685 0.389669 
-0.671954 0.621336 
-0.897786 2.53545 
-1.23861 0.342697 
-1.65441 0.603333 
-0.602495 -0.176684 
-0.751999 -1.05231 
-0.803991 -1.6329 
-1.65878 0.170243 
-0.81709 0.719133 
-0.919372 0.630387 
-0.979235 -0.619609 
-0.692025 0.791963 
-0.789447 -1.70256 
-1.99599 -0.541805 
-0.816876 -0.857567 
-1.05969 0.0719284 
-0.845095 0.904718 
-0.486366 1.61901 
-1.02711 0.185379 
-1.5029 -1.33032 
-0.483409 -0.588003 
-1.47568 -0.767636 
-1.45731 -1.73869 
-0.212499 0.846867 
-0.378293 0.924401 
-0.598119 0.558767 
-1.57753 -1.4622 
0.0115144 0.734529 
-0.512886 0.0314379 
-0.74331 0.149064 
-0.40081 3.15461 
-0.90704 0.723609 
-0.684619 -0.301271 
-0.933619 0.054559 
-0.648885 -0.00655604 
-1.1857 1.03313 
-0.123961 1.44056 
-0.482849 0.406407 
-1.40827 2.21196 
-0.788226 1.6762 
-0.626968 2.29448 
-0.659604 2.32729 
-1.57506 -0.507848 
-0.359206 1.72293 
-0.0882066 2.75924 
-1.46719 0.515554 
-1.49984 1.33413 
-1.60937 0.146659 
-0.395543 0.767869 
-2.05191 0.404293 
-1.11496 0.182662 
-1.38533 -0.431584 
-0.730808 -0.314533 
-0.996255 0.552961 
-0.725317 0.416413 
-0.69884 0.366897 
-0.96408 1.52449 
-0.0355764 1.01319 
-0.988184 1.75862 
-0.651437 0.83719 
-0.11402 1.2017 
-0.83709 0.686785 
-0.952777 1.53226 
-0.665876 2.35487 
-0.904648 0.85152 
-1.71002 0.629486 
-0.647594 1.59839 
-0.828364 1.25733 
-0.875682 2.06217 
-1.23073 -1.82735 
-1.09459 1.92781 
-1.59018 -0.583054 
-0.996959 -1.05165 
-1.05177 -1.54305 
-0.525789 0.0667593 
-0.605807 0.823377 
-0.65823 0.645958 
-0.110554 1.59439 
-0.125031 2.21363 
